,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
179,Tuvalu,,TUV,9,3174.05,0.0109999999403954,,,,69.80497741699219
63,Gambia,0.44999999,GMB,4,1601.88,,7.699999809265137,4.276580810546875,2.767709970474243,
3,Andorra,0.85699999,AND,5,32367.33,,,,2.997809886932373,
193,Zambia,0.57599998,ZMB,4,1916.79,,7.800000190734863,4.328835487365723,,
127,Norway,0.94800001,NOR,5,57634.77,5.156000137329102,1.600000023841858,5.048264026641846,7.373290061950684,95.2019271850586
38,Colombia,0.72399998,COL,2,8761.1396,47.6619987487793,6.699999809265137,3.405907869338989,4.659409999847412,78.58606719970703
87,Jordan,0.741,JOR,3,5188.9199,6.675000190734863,3.599999904632568,4.585320949554443,,81.37625122070312
67,Greece,0.86500001,GRC,5,25295.27,10.92700004577637,3.799999952316284,2.999258995056152,,95.0673828125
12,Bangladesh,0.57499999,BGD,8,1796.64,154.6950073242188,7.5,3.293149709701538,1.957260012626648,57.23989868164063
165,Suriname,0.72299999,SUR,10,6049.1499,0.546999990940094,7.300000190734863,2.884561777114868,,58.39226913452148
147,St Vincent and the Grenadines,0.72000003,VCT,10,7454.8799,0.1099999994039536,,,,
187,Burkina Faso,0.39899999,BFA,4,1095.96,16.5,6.900000095367432,2.868712186813355,4.60476016998291,26.4928092956543
6,Azerbaijan,0.75800002,AZE,1,9793.3096,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,
56,Estonia,0.86299998,EST,1,19768.039,1.315999984741211,3.5,4.364778518676758,5.481639862060547,94.39128112792967
81,Israel,0.898,ISR,3,25926.25,8.211999893188477,,3.719112396240234,5.757269859313965,98.39215850830078
153,Seychelles,0.78100002,SYC,4,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.60644006729126,74.57037353515625
159,Somalia,,SOM,4,1436.74,,9.199999809265137,,,
77,Indonesia,0.68599999,IDN,7,4780.0098,252.1649932861328,6.300000190734863,4.464125156402588,3.278609991073608,75.01837158203125
111,Monaco,,MCO,5,108481.13,,,,1.021950006484985,
22,Solomon Islands,0.514,SLB,9,2113.0601,0.5619999766349792,6.300000190734863,,,
112,Mongolia,0.73299998,MNG,6,6277.8999,2.881999969482422,3.099999904632568,2.909875631332398,4.599870204925537,
184,United Kingdom,0.90799999,GBR,5,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755127,98.2799835205078
47,Benin,0.48100001,BEN,4,1413.05,10.31999969482422,6.800000190734863,2.39393949508667,4.320680141448975,44.96981811523438
91,Kuwait,0.79900002,KWT,3,64342.711,3.999000072479248,3.099999904632568,3.075769186019898,,83.57884979248047
28,Cambodia,0.55800003,KHM,7,1927.0601,14.60499954223633,7.5,3.17626953125,1.901970028877258,
119,Nauru,,NRU,9,3130.47,0.0120000001043081,,,,71.94534301757812
117,Oman,0.79500002,OMN,3,26158.73,3.717000007629395,1.899999976158142,3.535049200057983,4.960380077362061,94.32984161376952
144,Rwanda,0.493,RWA,4,1440.39,10.19999980926514,7.5,4.037596225738525,3.797460079193115,27.23918914794922
9,Austria,0.89200002,AUT,5,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
13,Armenia,0.741,ARM,1,6451.9399,2.980000019073486,6.0,3.455313444137573,2.246599912643433,
84,Jamaica,0.72899997,JAM,10,4668.77,2.799000024795532,7.800000190734863,3.711759328842163,6.024670124053955,73.51493835449219
116,Mozambique,0.414,MOZ,4,852.39001,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266
167,Sweden,0.90899998,SWE,5,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
120,Nepal,0.55500001,NPL,8,1462.08,28.17499923706055,7.0,3.591810703277588,3.981300115585327,59.67913055419922
106,Mali,0.43799999,MLI,4,1063.26,14.85400009155273,8.399999618530273,3.003276109695435,3.739289999008179,34.6161003112793
51,Ecuador,0.73900002,ECU,2,7259.52,15.77499961853027,6.199999809265137,3.646551609039307,5.246870040893555,83.0124282836914
95,Lesotho,0.495,LSO,4,1539.79,,7.400000095367432,4.053547382354736,,35.21265029907227
172,Togo,0.484,TGO,4,1036.28,6.928999900817871,7.300000190734863,,4.868460178375244,
143,Russia,0.80500001,RUS,1,19063.689,143.4290008544922,4.5,3.476519107818604,3.861330032348633,
78,Iran,0.77399999,IRN,3,12889.28,75.1500015258789,6.199999809265137,3.012430906295776,2.954190015792847,80.731201171875
129,Marshall Islands,,MHL,9,2833.97,0.0540000014007092,,,,64.4613037109375
146,St Lucia,0.73500001,LCA,10,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
88,Kenya,0.55000001,KEN,4,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,
29,Cameroon,0.514,CMR,4,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
160,South Africa,0.66500002,ZAF,4,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,
110,Mexico,0.75800002,MEX,2,13609.42,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078
154,Sierra Leone,0.43099999,SLE,4,979.95001,6.23199987411499,8.399999618530273,2.986086368560791,2.661669969558716,
185,Tanzania,0.51899999,TZA,4,1416.3,43.88000106811523,7.0,3.004210472106934,3.479140043258667,
109,Mauritius,0.77899998,MUS,4,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
43,Croatia,0.82300001,HRV,1,18020.41,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688
107,Malta,0.85299999,MLT,5,24094.641,0.425000011920929,4.0,5.026020526885986,7.848999977111816,88.06436157226562
66,Kiribati,0.58600003,KIR,9,1532.65,0.1070000007748604,,,,
141,Qatar,0.85500002,QAT,3,104049.44,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586
35,Chile,0.84500003,CHL,2,15519.08,17.81900024414063,3.200000047683716,3.69163703918457,4.750120162963867,88.29785919189453
74,Hungary,0.83399999,HUN,1,18310.811,9.876999855041504,3.299999952316284,3.28902006149292,4.659349918365479,92.19537353515624
152,Serbia,0.77499998,SRB,1,11343.92,7.166999816894531,5.300000190734863,3.058158874511719,4.178609848022461,92.20523071289064
4,Angola,0.53100002,AGO,4,3771.2,25.78899955749512,6.0,2.134715557098389,,
44,Cuba,0.773,CUB,2,5899.9399,,5.699999809265137,,,87.48567199707031
33,Sri Lanka,0.764,LKA,8,5466.8701,20.54100036621094,7.800000190734863,4.644126892089844,1.925660014152527,85.42613983154297
96,Latvia,0.82800001,LVA,1,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
31,Cape Verde,0.64600003,CPV,4,3972.6101,0.5120000243186951,8.600000381469727,3.891948699951172,4.99245023727417,69.1138687133789
64,Germany,0.92400002,DEU,5,39486.699,80.98300170898438,2.099999904632568,5.241913795471191,4.952189922332764,
139,Guinea-Bissau,0.421,GNB,4,961.26001,,8.5,,2.173130035400391,
170,Tajikistan,0.625,TJK,1,3592.6499,8.131999969482422,6.300000190734863,3.840425491333008,5.232150077819824,83.22482299804688
168,Switzerland,0.93800002,CHE,5,50454.41,8.140000343322754,2.099999904632568,5.986858367919922,5.096079826354981,84.2464828491211
68,Grenada,0.75099999,GRD,10,8314.5596,,8.399999618530273,,,82.3596420288086
151,Senegal,0.491,SEN,4,1527.99,,7.400000095367432,3.760167360305786,7.396200180053711,
177,Turkey,0.764,TUR,3,16900.711,77.69599914550781,3.700000047683716,3.422157049179077,4.766260147094727,87.16455078125
2,Algeria,0.74299997,DZA,3,5402.1699,39.11399841308594,5.099999904632568,2.977302312850952,,
37,Taiwan,,TWN,6,33965.871,23.43400001525879,,3.908831357955933,,
122,Vanuatu,0.59799999,VUT,9,2877.01,0.2569999992847443,,,4.910830020904541,49.49629974365234
75,Iceland,0.91900003,ISL,5,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
92,Kyrgyzstan,0.662,KGZ,1,3010.24,5.894999980926514,6.400000095367432,2.853689193725586,5.527379989624023,80.17756652832031
16,Bhutan,0.60399997,BTN,8,5639.02,0.765999972820282,6.800000190734863,4.033873081207275,5.924600124359131,62.83831024169922
133,Papua New Guinea,0.51499999,PNG,9,1693.54,6.880000114440918,7.099999904632568,,,
73,Honduras,0.62300003,HND,2,3303.1399,,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984
118,Namibia,0.63700002,NAM,4,4521.29,,6.5,3.05289626121521,,
42,Costa Rica,0.77499998,CRI,2,9485.71,,3.5,4.666448593139648,6.927239894866943,78.12113952636719
14,Barbados,0.79400003,BRB,10,22888.971,0.2790000140666962,5.400000095367432,5.040225982666016,6.573299884796143,99.42874908447266
18,Bosnia and Herzegovina,0.74699998,BIH,1,8507.6504,3.871000051498413,5.5,2.355769157409668,,
59,France (1963-),0.89399999,FRA,5,34007.898,64.02799987792969,2.200000047683716,4.381113052368164,5.492990016937256,99.44432830810548
126,Nigeria,0.52499998,NGA,4,2246.8201,160.3419952392578,7.099999904632568,2.85273027420044,,
158,Slovenia,0.88800001,SVN,1,24456.561,2.061000108718872,2.799999952316284,4.07301139831543,5.486589908599854,94.94590759277344
155,Singapore,0.92400002,SGP,7,54268.148,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,
162,Spain,0.88200003,ESP,5,31086.35,46.45500183105469,2.400000095367432,3.441691160202026,4.27092981338501,96.4586181640625
60,Djibouti,0.47,DJI,4,2685.5,,5.800000190734863,,,
34,Chad,0.39399999,TCD,4,1651.05,,8.600000381469727,2.528029441833496,2.849709987640381,
49,Dominica,0.72399998,DMA,10,12613.72,,,,,86.32093048095703
57,Fiji,0.73400003,FJI,9,3848.72,0.8799999952316284,7.599999904632568,,3.882889986038208,83.38211059570312
98,Libya,0.71899998,LBY,3,4102.8398,6.265999794006348,6.400000095367432,1.874972462654114,,
164,Sudan (2012-),0.48800001,SDN,4,,,8.800000190734863,,,
136,Philippines,0.67900002,PHL,7,3953.1001,100.1490020751953,6.199999809265137,4.54694414138794,,67.44245910644531
1,Albania,0.76200002,ALB,1,8516.7002,,7.099999904632568,4.111338615417481,3.539439916610718,85.27821350097656
156,Slovakia,0.84200001,SVK,1,21776.34,5.415999889373779,4.199999809265137,2.762844562530518,4.238560199737549,
53,Equatorial Guinea,0.58200002,GNQ,4,15412.43,,6.0,,,
171,Thailand,0.73799998,THA,7,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.128870010375977,83.64586639404297
186,United States,0.91799998,USA,5,47769.699,318.7890014648438,1.5,4.564571380615234,5.380780220031738,90.46228790283205
